[INFO |0.2091]: Started Render Thread
[TRACE|0.4463]: CreateVAOCommand
[TRACE|0.4732]: BindCommand
[TRACE|0.4829]: CreateVBOCommand
[TRACE|0.4844]: BindCommand
[TRACE|0.4849]: UnbindCommand
[TRACE|0.4861]: CreateVAOCommand
[TRACE|0.4865]: CreateVBOCommand
[TRACE|0.4889]: ClearCommand
[TRACE|0.4895]: PresentCommand
[TRACE|0.5082]: ClearCommand
[TRACE|0.5087]: PresentCommand
[TRACE|0.5262]: ClearCommand
[TRACE|0.5267]: PresentCommand
[TRACE|0.5444]: ClearCommand
[TRACE|0.5448]: PresentCommand
[TRACE|0.5635]: ClearCommand
[TRACE|0.5642]: PresentCommand
[TRACE|0.5828]: ClearCommand
[TRACE|0.5832]: PresentCommand
[TRACE|0.6008]: ClearCommand
[TRACE|0.6011]: PresentCommand
[TRACE|0.6189]: ClearCommand
[TRACE|0.6193]: PresentCommand
[TRACE|0.6381]: ClearCommand
[TRACE|0.6386]: PresentCommand
[TRACE|0.6574]: ClearCommand
[TRACE|0.6578]: PresentCommand
[TRACE|0.6754]: ClearCommand
[TRACE|0.6758]: PresentCommand
[TRACE|0.6935]: ClearCommand
[TRACE|0.6944]: PresentCommand
[TRACE|0.7127]: ClearCommand
[TRACE|0.7132]: PresentCommand
[TRACE|0.7308]: ClearCommand
[TRACE|0.7312]: PresentCommand
[TRACE|0.7490]: ClearCommand
[TRACE|0.7494]: PresentCommand
[TRACE|0.7671]: ClearCommand
[TRACE|0.7676]: PresentCommand
[TRACE|0.7861]: ClearCommand
[TRACE|0.7866]: PresentCommand
[TRACE|0.8045]: ClearCommand
[TRACE|0.8048]: PresentCommand
[TRACE|0.8225]: ClearCommand
[TRACE|0.8229]: PresentCommand
[TRACE|0.8406]: ClearCommand
[TRACE|0.8410]: PresentCommand
[TRACE|0.8586]: ClearCommand
[TRACE|0.8593]: PresentCommand
[TRACE|0.8777]: ClearCommand
[TRACE|0.8785]: PresentCommand
[TRACE|0.8968]: ClearCommand
[TRACE|0.8973]: PresentCommand
[TRACE|0.9159]: ClearCommand
[TRACE|0.9166]: PresentCommand
[TRACE|0.9350]: ClearCommand
[TRACE|0.9356]: PresentCommand
[TRACE|0.9540]: ClearCommand
[TRACE|0.9547]: PresentCommand
[TRACE|0.9732]: ClearCommand
[TRACE|0.9737]: PresentCommand
[TRACE|0.9912]: ClearCommand
[TRACE|0.9917]: PresentCommand
[TRACE|1.0093]: ClearCommand
[TRACE|1.0100]: PresentCommand
[TRACE|1.0285]: ClearCommand
[TRACE|1.0290]: PresentCommand
[TRACE|1.0477]: ClearCommand
[TRACE|1.0483]: PresentCommand
[TRACE|1.0659]: ClearCommand
[TRACE|1.0664]: PresentCommand
[TRACE|1.0851]: ClearCommand
[TRACE|1.0857]: PresentCommand
[TRACE|1.1045]: ClearCommand
[TRACE|1.1051]: PresentCommand
[TRACE|1.1238]: ClearCommand
[TRACE|1.1243]: PresentCommand
[TRACE|1.1429]: ClearCommand
[TRACE|1.1434]: PresentCommand
[TRACE|1.1611]: ClearCommand
[TRACE|1.1617]: PresentCommand
[TRACE|1.1804]: ClearCommand
[TRACE|1.1809]: PresentCommand
[TRACE|1.1996]: ClearCommand
[TRACE|1.2003]: PresentCommand
[TRACE|1.2189]: ClearCommand
[TRACE|1.2193]: PresentCommand
[TRACE|1.2371]: ClearCommand
[TRACE|1.2376]: PresentCommand
[TRACE|1.2564]: ClearCommand
[TRACE|1.2569]: PresentCommand
[TRACE|1.2757]: ClearCommand
[TRACE|1.2762]: PresentCommand
[TRACE|1.2938]: ClearCommand
[TRACE|1.2943]: PresentCommand
[TRACE|1.3119]: ClearCommand
[TRACE|1.3125]: PresentCommand
[TRACE|1.3299]: ClearCommand
[TRACE|1.3305]: PresentCommand
[TRACE|1.3481]: ClearCommand
[TRACE|1.3488]: PresentCommand
[TRACE|1.3672]: ClearCommand
[TRACE|1.3678]: PresentCommand
[TRACE|1.3853]: ClearCommand
[TRACE|1.3857]: PresentCommand
[TRACE|1.4034]: ClearCommand
[TRACE|1.4038]: PresentCommand
[TRACE|1.4227]: ClearCommand
[TRACE|1.4231]: PresentCommand
[TRACE|1.4409]: ClearCommand
[TRACE|1.4413]: PresentCommand
[TRACE|1.4589]: ClearCommand
[TRACE|1.4593]: PresentCommand
[TRACE|1.4770]: ClearCommand
[TRACE|1.4775]: PresentCommand
[TRACE|1.4949]: ClearCommand
[TRACE|1.4951]: PresentCommand
[TRACE|1.5131]: ClearCommand
[TRACE|1.5135]: PresentCommand
[TRACE|1.5311]: ClearCommand
[TRACE|1.5316]: PresentCommand
[TRACE|1.5492]: ClearCommand
[TRACE|1.5497]: PresentCommand
[TRACE|1.5684]: ClearCommand
[TRACE|1.5689]: PresentCommand
[TRACE|1.5866]: ClearCommand
[TRACE|1.5874]: PresentCommand
[TRACE|1.6058]: ClearCommand
[TRACE|1.6064]: PresentCommand
[TRACE|1.6240]: ClearCommand
[TRACE|1.6243]: PresentCommand
[TRACE|1.6420]: ClearCommand
[TRACE|1.6423]: PresentCommand
[TRACE|1.6600]: ClearCommand
[TRACE|1.6603]: PresentCommand
[TRACE|1.6780]: ClearCommand
[TRACE|1.6783]: PresentCommand
[TRACE|1.6960]: ClearCommand
[TRACE|1.6965]: PresentCommand
[TRACE|1.7139]: ClearCommand
[TRACE|1.7143]: PresentCommand
[TRACE|1.7320]: ClearCommand
[TRACE|1.7324]: PresentCommand
[TRACE|1.7503]: ClearCommand
[TRACE|1.7506]: PresentCommand
[TRACE|1.7682]: ClearCommand
[TRACE|1.7686]: PresentCommand
[TRACE|1.7863]: ClearCommand
[TRACE|1.7867]: PresentCommand
[TRACE|1.8046]: ClearCommand
[TRACE|1.8048]: PresentCommand
[TRACE|1.8227]: ClearCommand
[TRACE|1.8232]: PresentCommand
[TRACE|1.8409]: ClearCommand
[TRACE|1.8417]: PresentCommand
[TRACE|1.8600]: ClearCommand
[TRACE|1.8604]: PresentCommand
[TRACE|1.8780]: ClearCommand
[TRACE|1.8783]: PresentCommand
[TRACE|1.8961]: ClearCommand
[TRACE|1.8965]: PresentCommand
[TRACE|1.9141]: ClearCommand
[TRACE|1.9146]: PresentCommand
[TRACE|1.9322]: ClearCommand
[TRACE|1.9326]: PresentCommand
[TRACE|1.9455]: ClearCommand
[TRACE|1.9458]: PresentCommand
[TRACE|1.9466]: ClearCommand
[TRACE|1.9486]: PresentCommand
[TRACE|1.9538]: ClearCommand
[TRACE|1.9588]: PresentCommand
[TRACE|1.9616]: ClearCommand
[TRACE|1.9754]: PresentCommand
[TRACE|1.9771]: ClearCommand
[TRACE|1.9921]: PresentCommand
[TRACE|1.9928]: ClearCommand
[TRACE|2.0088]: PresentCommand
[TRACE|2.0107]: ClearCommand
[TRACE|2.0255]: PresentCommand
[TRACE|2.0264]: ClearCommand
[TRACE|2.0421]: PresentCommand
[TRACE|2.0436]: ClearCommand
[TRACE|2.0587]: PresentCommand
[TRACE|2.0605]: ClearCommand
[TRACE|2.0754]: PresentCommand
[TRACE|2.0764]: ClearCommand
[TRACE|2.0921]: PresentCommand
[TRACE|2.1099]: ClearCommand
[TRACE|2.1103]: PresentCommand
[TRACE|2.1279]: ClearCommand
[TRACE|2.1282]: PresentCommand
[TRACE|2.1459]: ClearCommand
[TRACE|2.1466]: PresentCommand
[TRACE|2.1650]: ClearCommand
[TRACE|2.1654]: PresentCommand
[TRACE|2.1830]: ClearCommand
[TRACE|2.1834]: PresentCommand
[TRACE|2.2010]: ClearCommand
[TRACE|2.2015]: PresentCommand
[TRACE|2.2190]: ClearCommand
[TRACE|2.2194]: PresentCommand
[TRACE|2.2372]: ClearCommand
[TRACE|2.2376]: PresentCommand
[TRACE|2.2553]: ClearCommand
[TRACE|2.2556]: PresentCommand
[TRACE|2.2733]: ClearCommand
[TRACE|2.2737]: PresentCommand
[TRACE|2.2912]: ClearCommand
[TRACE|2.2915]: PresentCommand
[TRACE|2.3092]: ClearCommand
[TRACE|2.3095]: PresentCommand
[TRACE|2.3271]: ClearCommand
[TRACE|2.3275]: PresentCommand
[TRACE|2.3452]: ClearCommand
[TRACE|2.3455]: PresentCommand
[TRACE|2.3631]: ClearCommand
[TRACE|2.3635]: PresentCommand
[TRACE|2.3811]: ClearCommand
[TRACE|2.3814]: PresentCommand
[TRACE|2.3991]: ClearCommand
[TRACE|2.3994]: PresentCommand
[TRACE|2.4173]: ClearCommand
[TRACE|2.4177]: PresentCommand
[TRACE|2.4352]: ClearCommand
[TRACE|2.4355]: PresentCommand
[TRACE|2.4532]: ClearCommand
[TRACE|2.4535]: PresentCommand
[TRACE|2.4712]: ClearCommand
[TRACE|2.4715]: PresentCommand
[TRACE|2.4893]: ClearCommand
[TRACE|2.4896]: PresentCommand
[TRACE|2.5071]: ClearCommand
[TRACE|2.5075]: PresentCommand
[TRACE|2.5252]: ClearCommand
[TRACE|2.5256]: PresentCommand
[TRACE|2.5433]: ClearCommand
[TRACE|2.5436]: PresentCommand
[TRACE|2.5612]: ClearCommand
[TRACE|2.5615]: PresentCommand
[TRACE|2.5792]: ClearCommand
[TRACE|2.5795]: PresentCommand
[TRACE|2.5972]: ClearCommand
[TRACE|2.5975]: PresentCommand
[TRACE|2.6153]: ClearCommand
[TRACE|2.6156]: PresentCommand
[TRACE|2.6333]: ClearCommand
[TRACE|2.6337]: PresentCommand
[TRACE|2.6514]: ClearCommand
[TRACE|2.6517]: PresentCommand
[TRACE|2.6694]: ClearCommand
[TRACE|2.6698]: PresentCommand
[TRACE|2.6876]: ClearCommand
[TRACE|2.6880]: PresentCommand
[TRACE|2.7056]: ClearCommand
[TRACE|2.7064]: PresentCommand
[TRACE|2.7247]: ClearCommand
[TRACE|2.7253]: PresentCommand
[TRACE|2.7439]: ClearCommand
[TRACE|2.7442]: PresentCommand
[TRACE|2.7618]: ClearCommand
[TRACE|2.7622]: PresentCommand
[TRACE|2.7799]: ClearCommand
[TRACE|2.7803]: PresentCommand
[TRACE|2.7981]: ClearCommand
[TRACE|2.7984]: PresentCommand
[TRACE|2.8161]: ClearCommand
[TRACE|2.8165]: PresentCommand
[TRACE|2.8341]: ClearCommand
[TRACE|2.8343]: PresentCommand
[TRACE|2.8520]: ClearCommand
[TRACE|2.8523]: PresentCommand
[TRACE|2.8700]: ClearCommand
[TRACE|2.8704]: PresentCommand
[TRACE|2.8881]: ClearCommand
[TRACE|2.8885]: PresentCommand
[TRACE|2.9061]: ClearCommand
[TRACE|2.9064]: PresentCommand
[TRACE|2.9241]: ClearCommand
[TRACE|2.9244]: PresentCommand
[TRACE|2.9421]: ClearCommand
[TRACE|2.9424]: PresentCommand
[TRACE|2.9600]: ClearCommand
[TRACE|2.9603]: PresentCommand
[TRACE|2.9779]: ClearCommand
[TRACE|2.9782]: PresentCommand
[TRACE|2.9959]: ClearCommand
[TRACE|2.9962]: PresentCommand
[TRACE|3.0139]: ClearCommand
[TRACE|3.0142]: PresentCommand
[TRACE|3.0319]: ClearCommand
[TRACE|3.0322]: PresentCommand
[TRACE|3.0499]: ClearCommand
[TRACE|3.0503]: PresentCommand
[TRACE|3.0680]: ClearCommand
[TRACE|3.0683]: PresentCommand
[TRACE|3.0859]: ClearCommand
[TRACE|3.0863]: PresentCommand
[TRACE|3.1040]: ClearCommand
[TRACE|3.1043]: PresentCommand
[TRACE|3.1220]: ClearCommand
[TRACE|3.1223]: PresentCommand
[TRACE|3.1400]: ClearCommand
[TRACE|3.1403]: PresentCommand
[TRACE|3.1580]: ClearCommand
[TRACE|3.1583]: PresentCommand
[TRACE|3.1760]: ClearCommand
[TRACE|3.1763]: PresentCommand
[TRACE|3.1939]: ClearCommand
[TRACE|3.1942]: PresentCommand
[TRACE|3.2119]: ClearCommand
[TRACE|3.2122]: PresentCommand
[TRACE|3.2299]: ClearCommand
[TRACE|3.2302]: PresentCommand
[TRACE|3.2479]: ClearCommand
[TRACE|3.2482]: PresentCommand
[TRACE|3.2660]: ClearCommand
[TRACE|3.2663]: PresentCommand
[TRACE|3.2839]: ClearCommand
[TRACE|3.2842]: PresentCommand
[TRACE|3.3020]: ClearCommand
[TRACE|3.3023]: PresentCommand
[TRACE|3.3199]: ClearCommand
[TRACE|3.3202]: PresentCommand
[TRACE|3.3380]: ClearCommand
[TRACE|3.3383]: PresentCommand
[TRACE|3.3561]: ClearCommand
[TRACE|3.3564]: PresentCommand
[TRACE|3.3741]: ClearCommand
[TRACE|3.3744]: PresentCommand
[TRACE|3.3922]: ClearCommand
[TRACE|3.3925]: PresentCommand
[TRACE|3.3963]: ClearCommand
[TRACE|3.3966]: PresentCommand
